,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAIS - Divulgação: Dezembro de 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ,330025,Arraial do Cabo,0,0,0,#DIV/0!,74,118,44,"59,5%",192,283,91,"47,4%",1.034,1.034,0,"0,0%",6.583,10.258,3.675,"55,8%",7.883,11.693,3.810,"48,3%"
,RJ,330030,Barra do Piraí,484,480,-4,"-0,8%",3.195,3.698,503,"15,7%",950,1.039,89,"9,4%",4.854,5.202,348,"7,2%",8.672,9.722,1.050,"12,1%",18.155,20.141,1.986,"10,9%"
,RJ,330040,Barra Mansa,393,399,6,"1,5%",4.654,5.041,387,"8,3%",1.060,1.307,247,"23,3%",7.957,7.921,-36,"-0,5%",20.008,19.475,-533,"-2,7%",34.072,34.143,71,"0,2%"
,RJ,330045,Belford Roxo,7,3,-4,"-57,1%",1.630,1.805,175,"10,7%",990,1.128,138,"13,9%",9.289,9.021,-268,"-2,9%",20.854,45.011,24.157,"115,8%",32.770,56.968,24.198,"73,8%"
,RJ,330050,Bom Jardim,317,314,-3,"-0,9%",1.240,1.270,30,"2,4%",126,70,-56,"-44,4%",1.411,1.445,34,"2,4%",2.475,2.456,-19,"-0,8%",5.569,5.555,-14,"-0,3%"
,RJ,330060,Bom Jesus do Itabapoana,266,268,2,"0,8%",628,656,28,"4,5%",41,55,14,"34,1%",1.586,1.611,25,"1,6%",3.857,4.104,247,"6,4%",6.379,6.694,315,"4,9%"
,RJ,330070,Cabo Frio,180,135,-45,"-25,0%",1.897,2.116,219,"11,5%",886,874,-12,"-1,4%",12.370,12.351,-19,"-0,2%",27.706,35.825,8.119,"29,3%",43.040,51.301,8.261,"19,2%"
,RJ,330080,Cachoeiras de Macacu,536,570,34,"6,3%",1.505,1.499,-6,"-0,4%",519,679,160,"30,8%",1.629,1.735,106,"6,5%",3.895,4.285,390,"10,0%",8.084,8.768,684,"8,5%"
,RJ,330090,Cambuci,119,141,22,"18,5%",192,230,38,"19,8%",53,38,-15,"-28,3%",280,283,3,"1,1%",1.227,1.422,195,"15,9%",1.871,2.114,243,"13,0%"
,RJ,330093,Carapebus,50,50,0,"0,0%",107,170,63,"58,9%",23,321,298,"1295,7%",331,364,33,"10,0%",2.149,2.583,434,"20,2%",2.660,3.488,828,"31,1%"
,RJ,330095,Comendador Levy Gasparian,36,37,1,"2,8%",1.021,1.154,133,"13,0%",89,8,-81,"-91,0%",490,432,-58,"-11,8%",1.045,1.309,264,"25,3%",2.681,2.940,259,"9,7%"
,RJ,330100,Campos dos Goytacazes,1.685,1.918,233,"13,8%",7.858,8.473,615,"7,8%",4.950,4.987,37,"0,7%",23.254,20.594,-2.660,"-11,4%",55.364,61.220,5.856,"10,6%",93.113,97.192,4.079,"4,4%"
,RJ,330110,Cantagalo,257,260,3,"1,2%",819,886,67,"8,2%",176,116,-60,"-34,1%",718,640,-78,"-10,9%",2.137,2.454,317,"14,8%",4.107,4.356,249,"6,1%"
,RJ,330115,Cardoso Moreira,208,191,-17,"-8,2%",98,111,13,"13,3%",16,25,9,"56,3%",423,502,79,"18,7%",1.271,1.313,42,"3,3%",2.016,2.142,126,"6,3%"
,RJ,330120,Carmo,149,142,-7,"-4,7%",417,550,133,"31,9%",113,33,-80,"-70,8%",641,556,-85,"-13,3%",2.725,2.920,195,"7,2%",4.045,4.201,156,"3,9%"
,RJ,330130,Casimiro de Abreu,190,220,30,"15,8%",328,424,96,"29,3%",839,599,-240,"-28,6%",2.099,1.900,-199,"-9,5%",4.550,4.985,435,"9,6%",8.007,8.128,121,"1,5%"
,RJ,330140,Conceição de Macabu,178,177,-1,"-0,6%",126,142,16,"12,7%",4,15,11,"275,0%",589,628,39,"6,6%",1.911,2.491,580,"30,4%",2.808,3.453,645,"23,0%"
,RJ,330150,Cordeiro,102,104,2,"2,0%",1.261,1.116,-145,"-11,5%",241,256,15,"6,2%",854,1.005,151,"17,7%",1.887,2.251,364,"19,3%",4.346,4.732,386,"8,9%"
,RJ,330160,Duas Barras,229,238,9,"3,9%",129,183,54,"41,9%",85,37,-48,"-56,5%",249,261,12,"4,8%",750,725,-25,"-3,3%",1.442,1.444,2,"0,1%"
,RJ,330170,Duque de Caxias,23,15,-8,"-34,8%",18.558,20.784,2.226,"12,0%",7.419,7.866,447,"6,0%",44.607,44.858,251,"0,6%",92.821,98.679,5.858,"6,3%",163.430,172.202,8.772,"5,4%"
,RJ,330180,Engenheiro Paulo de Frontin,82,75,-7,"-8,5%",513,443,-70,"-13,6%",5,20,15,"300,0%",289,278,-11,"-3,8%",1.571,1.555,-16,"-1,0%",2.460,2.371,-89,"-3,6%"
,RJ,330185,Guapimirim,72,81,9,"12,5%",888,1.149,261,"29,4%",231,338,107,"46,3%",1.948,1.744,-204,"-10,5%",6.423,7.241,818,"12,7%",9.562,10.553,991,"10,4%"
,RJ,330187,Iguaba Grande,11,10,-1,"-9,1%",25,56,31,"124,0%",34,44,10,"29,4%",829,930,101,"12,2%",2.358,2.798,440,"18,7%",3.257,3.838,581,"17,8%"
,RJ,330190,Itaboraí,176,169,-7,"-4,0%",3.141,3.502,361,"11,5%",1.135,4.805,3.670,"323,3%",8.675,8.708,33,"0,4%",19.158,21.176,2.018,"10,5%",32.286,38.360,6.074,"18,8%"
,RJ,330200,Itaguaí,125,115,-10,"-8,0%",4.296,4.312,16,"0,4%",3.342,3.990,648,"19,4%",4.710,4.643,-67,"-1,4%",17.752,20.376,2.624,"14,8%",30.226,33.436,3.210,"10,6%"
,RJ,330205,Italva,92,79,-13,"-14,1%",357,357,0,"0,0%",293,296,3,"1,0%",651,586,-65,"-10,0%",897,867,-30,"-3,3%",2.290,2.185,-105,"-4,6%"
,RJ,330210,Itaocara,87,78,-9,"-10,3%",309,385,76,"24,6%",104,123,19,"18,3%",1.055,1.082,27,"2,6%",2.261,2.286,25,"1,1%",3.816,3.954,138,"3,6%"
,RJ,330220,Itaperuna,620,646,26,"4,2%",4.997,6.582,1.585,"31,7%",3.178,1.859,-1.319,"-41,5%",6.141,6.150,9,"0,1%",12.720,14.274,1.554,"12,2%",27.656,29.511,1.855,"6,7%"
,RJ,330225,Itatiaia,20,26,6,"30,0%",3.494,3.381,-113,"-3,2%",260,278,18,"6,9%",1.097,1.250,153,"13,9%",6.208,6.111,-97,"-1,6%",11.079,11.046,-33,"-0,3%"
,RJ,330227,Japeri,6,4,-2,"-33,3%",2.611,2.229,-382,"-14,6%",374,429,55,"14,7%",1.312,1.330,18,"1,4%",4.382,4.857,475,"10,8%",8.685,8.849,164,"1,9%"
,RJ,330230,Laje do Muriaé,108,104,-4,"-3,7%",280,382,102,"36,4%",27,33,6,"22,2%",115,123,8,"7,0%",847,821,-26,"-3,1%",1.377,1.463,86,"6,2%"
,RJ,330240,Macaé,404,386,-18,"-4,5%",34.319,37.999,3.680,"10,7%",16.256,20.329,4.073,"25,1%",14.456,15.661,1.205,"8,3%",70.103,55.946,-14.157,"-20,2%",135.539,130.321,-5.218,"-3,8%"
,RJ,330245,Macuco,46,46,0,"0,0%",334,393,59,"17,7%",85,126,41,"48,2%",287,257,-30,"-10,5%",965,2.714,1.749,"181,2%",1.717,3.536,1.819,"105,9%"
,RJ,330250,Magé,75,81,6,"8,0%",2.409,2.672,263,"10,9%",1.161,2.189,1.028,"88,5%",6.452,6.924,472,"7,3%",20.530,21.844,1.314,"6,4%",30.627,33.710,3.083,"10,1%"
,RJ,330260,Mangaratiba,65,79,14,"21,5%",61,215,154,"252,5%",652,676,24,"3,7%",819,827,8,"1,0%",9.384,10.172,788,"8,4%",10.981,11.969,988,"9,0%"
,RJ,330270,Maricá,54,57,3,"5,6%",1.283,1.366,83,"6,5%",3.388,4.716,1.328,"39,2%",7.275,7.835,560,"7,7%",20.124,19.729,-395,"-2,0%",32.124,33.703,1.579,"4,9%"
,RJ,330280,Mendes,9,10,1,"11,1%",180,192,12,"6,7%",233,147,-86,"-36,9%",657,661,4,"0,6%",1.731,1.950,219,"12,7%",2.810,2.960,150,"5,3%"
,RJ,330285,Mesquita,1,1,0,"0,0%",1.054,1.233,179,"17,0%",641,873,232,"36,2%",3.751,3.655,-96,"-2,6%",13.227,14.067,840,"6,4%",18.674,19.829,1.155,"6,2%"
,RJ,330290,Miguel Pereira,165,145,-20,"-12,1%",147,248,101,"68,7%",93,234,141,"151,6%",1.320,1.216,-104,"-7,9%",3.340,3.492,152,"4,6%",5.065,5.335,270,"5,3%"
,RJ,330300,Miracema,195,193,-2,"-1,0%",618,676,58,"9,4%",376,266,-110,"-29,3%",1.008,1.067,59,"5,9%",2.176,2.178,2,"0,1%",4.373,4.380,7,"0,2%"
,RJ,330310,Natividade,252,250,-2,"-0,8%",63,82,19,"30,2%",98,64,-34,"-34,7%",403,395,-8,"-2,0%",1.804,1.780,-24,"-1,3%",2.620,2.571,-49,"-1,9%"
,RJ,330320,Nilópolis,5,0,-5,"-100,0%",634,728,94,"14,8%",708,704,-4,"-0,6%",5.166,4.761,-405,"-7,8%",11.438,12.015,577,"5,0%",17.951,18.208,257,"1,4%"
,RJ,330330,Niterói,443,473,30,"6,8%",16.990,17.309,319,"1,9%",8.209,8.916,707,"8,6%",34.359,33.831,-528,"-1,5%",129.051,127.631,-1.420,"-1,1%",189.056,188.160,-896,"-0,5%"
,RJ,330340,Nova Friburgo,260,247,-13,"-5,0%",15.196,15.274,78,"0,5%",1.381,1.403,22,"1,6%",13.518,13.713,195,"1,4%",24.047,24.019,-28,"-0,1%",54.403,54.656,253,"0,5%"
,RJ,330350,Nova Iguaçu,37,41,4,"10,8%",9.708,8.154,-1.554,"-16,0%",3.539,4.342,803,"22,7%",30.209,28.955,-1.254,"-4,2%",59.469,61.249,1.780,"3,0%",102.962,102.741,-221,"-0,2%"
,RJ,330360,Paracambi,32,27,-5,"-15,6%",1.448,1.582,134,"9,3%",94,95,1,"1,1%",2.337,1.349,-988,"-42,3%",3.380,5.574,2.194,"64,9%",7.291,8.627,1.336,"18,3%"
,RJ,330370,Paraíba do Sul,634,678,44,"6,9%",1.595,1.591,-4,"-0,3%",105,73,-32,"-30,5%",3.549,1.740,-1.809,"-51,0%",5.111,5.339,228,"4,5%",10.994,9.421,-1.573,"-14,3%"
,RJ,330380,Paraty,52,53,1,"1,9%",299,316,17,"5,7%",190,200,10,"5,3%",2.454,2.383,-71,"-2,9%",7.192,7.557,365,"5,1%",10.187,10.509,322,"3,2%"
,RJ,330385,Paty do Alferes,213,214,1,"0,5%",699,665,-34,"-4,9%",38,29,-9,"-23,7%",1.132,1.184,52,"4,6%",2.325,2.591,266,"11,4%",4.407,4.683,276,"6,3%"
,RJ,330390,Petrópolis,432,478,46,"10,6%",13.541,14.241,700,"5,2%",3.117,3.380,263,"8,4%",16.750,16.496,-254,"-1,5%",38.547,40.225,1.678,"4,4%",72.388,74.820,2.432,"3,4%"
,RJ,330395,Pinheiral,27,25,-2,"-7,4%",1.027,1.045,18,"1,8%",58,203,145,"250,0%",807,744,-63,"-7,8%",2.431,2.662,231,"9,5%",4.350,4.679,329,"7,6%"
,RJ,330400,Piraí,250,195,-55,"-22,0%",2.558,2.597,39,"1,5%",440,212,-228,"-51,8%",1.335,1.384,49,"3,7%",4.927,5.500,573,"11,6%",9.510,9.888,378,"4,0%"
,RJ,330410,Porciúncula,138,124,-14,"-10,1%",241,246,5,"2,1%",16,11,-5,"-31,3%",463,416,-47,"-10,2%",1.438,1.552,114,"7,9%",2.296,2.349,53,"2,3%"
,RJ,330411,Porto Real,118,38,-80,"-67,8%",4.165,3.857,-308,"-7,4%",191,139,-52,"-27,2%",977,1.063,86,"8,8%",2.665,2.597,-68,"-2,6%",8.116,7.694,-422,"-5,2%"
,RJ,330412,Quatis,76,81,5,"6,6%",58,85,27,"46,6%",17,30,13,"76,5%",531,515,-16,"-3,0%",1.674,2.135,461,"27,5%",2.356,2.846,490,"20,8%"
,RJ,330414,Queimados,251,0,-251,"-100,0%",3.588,3.556,-32,"-0,9%",525,608,83,"15,8%",6.244,6.324,80,"1,3%",8.270,9.490,1.220,"14,8%",18.878,19.978,1.100,"5,8%"
,RJ,330415,Quissamã,145,152,7,"4,8%",296,274,-22,"-7,4%",85,101,16,"18,8%",460,506,46,"10,0%",2.898,2.958,60,"2,1%",3.884,3.991,107,"2,8%"
,RJ,330420,Resende,359,334,-25,"-7,0%",9.972,10.043,71,"0,7%",1.318,1.144,-174,"-13,2%",7.221,6.938,-283,"-3,9%",23.936,24.774,838,"3,5%",42.806,43.233,427,"1,0%"
,RJ,330430,Rio Bonito,245,239,-6,"-2,4%",1.717,1.783,66,"3,8%",365,375,10,"2,7%",2.970,2.948,-22,"-0,7%",9.783,12.667,2.884,"29,5%",15.080,18.012,2.932,"19,4%"
,RJ,330440,Rio Claro,429,397,-32,"-7,5%",86,90,4,"4,7%",43,106,63,"146,5%",428,465,37,"8,6%",1.496,1.651,155,"10,4%",2.482,2.709,227,"9,1%"
,RJ,330450,Rio das Flores,212,200,-12,"-5,7%",700,706,6,"0,9%",981,1.022,41,"4,2%",127,127,0,"0,0%",995,1.020,25,"2,5%",3.015,3.075,60,"2,0%"
,RJ,330452,Rio das Ostras,65,63,-2,"-3,1%",4.875,7.256,2.381,"48,8%",2.203,2.891,688,"31,2%",7.030,7.048,18,"0,3%",20.063,19.586,-477,"-2,4%",34.236,36.844,2.608,"7,6%"
,RJ,330455,Rio de Janeiro,1.263,1.184,-79,"-6,3%",152.500,171.606,19.106,"12,5%",102.618,119.418,16.800,"16,4%",370.121,374.858,4.737,"1,3%",1.712.778,1.581.878,-130.900,"-7,6%",2.339.294,2.248.944,-90.350,"-3,9%"
,RJ,330460,Santa Maria Madalena,202,199,-3,"-1,5%",276,190,-86,"-31,2%",14,48,34,"242,9%",165,130,-35,"-21,2%",1.079,1.137,58,"5,4%",1.736,1.704,-32,"-1,8%"
,RJ,330470,Santo Antônio de Pádua,223,216,-7,"-3,1%",2.216,2.326,110,"5,0%",193,204,11,"5,7%",2.101,2.111,10,"0,5%",4.403,4.670,267,"6,1%",9.136,9.527,391,"4,3%"
,RJ,330475,São Francisco de Itabapoana,748,529,-219,"-29,3%",114,157,43,"37,7%",66,67,1,"1,5%",1.021,1.149,128,"12,5%",602,2.281,1.679,"278,9%",2.551,4.183,1.632,"64,0%"
,RJ,330480,São Fidélis,270,273,3,"1,1%",463,541,78,"16,8%",135,127,-8,"-5,9%",1.437,1.293,-144,"-10,0%",4.020,2.885,-1.135,"-28,2%",6.325,5.119,-1.206,"-19,1%"
,RJ,330490,São Gonçalo,144,175,31,"21,5%",11.651,12.278,627,"5,4%",6.733,7.289,556,"8,3%",31.684,31.891,207,"0,7%",67.076,58.544,-8.532,"-12,7%",117.289,110.177,-7.112,"-6,1%"
,RJ,330500,São João da Barra,111,90,-21,"-18,9%",1.863,2.016,153,"8,2%",2.468,4.196,1.728,"70,0%",1.120,843,-277,"-24,7%",10.901,13.864,2.963,"27,2%",16.464,21.009,4.545,"27,6%"
,RJ,330510,São João de Meriti,1,0,-1,"-100,0%",2.781,3.257,476,"17,1%",797,1.023,226,"28,4%",16.107,15.171,-936,"-5,8%",41.121,47.756,6.635,"16,1%",60.807,67.207,6.400,"10,5%"
,RJ,330513,São José de Ubá,68,70,2,"2,9%",60,49,-11,"-18,3%",10,13,3,"30,0%",175,180,5,"2,9%",988,958,-30,"-3,0%",1.301,1.270,-31,"-2,4%"
,RJ,330515,São José do Vale do Rio Preto,491,500,9,"1,8%",1.000,951,-49,"-4,9%",105,126,21,"20,0%",1.017,990,-27,"-2,7%",1.723,2.150,427,"24,8%",4.336,4.717,381,"8,8%"
,RJ,330520,São Pedro da Aldeia,131,114,-17,"-13,0%",1.230,836,-394,"-32,0%",790,921,131,"16,6%",5.748,5.864,116,"2,0%",12.097,9.494,-2.603,"-21,5%",19.996,17.229,-2.767,"-13,8%"
,RJ,330530,São Sebastião do Alto,156,163,7,"4,5%",25,15,-10,"-40,0%",0,0,0,#DIV/0!,111,138,27,"24,3%",1.041,1.070,29,"2,8%",1.333,1.386,53,"4,0%"
,RJ,330540,Sapucaia,369,337,-32,"-8,7%",941,956,15,"1,6%",23,136,113,"491,3%",1.763,1.755,-8,"-0,5%",1.535,1.566,31,"2,0%",4.631,4.750,119,"2,6%"
,RJ,330550,Saquarema,142,173,31,"21,8%",1.961,2.094,133,"6,8%",593,809,216,"36,4%",4.166,4.220,54,"1,3%",10.591,13.433,2.842,"26,8%",17.453,20.729,3.276,"18,8%"
,RJ,330555,Seropédica,46,42,-4,"-8,7%",3.064,3.223,159,"5,2%",465,276,-189,"-40,6%",2.831,3.605,774,"27,3%",9.733,7.376,-2.357,"-24,2%",16.139,14.522,-1.617,"-10,0%"
,RJ,330560,Silva Jardim,617,616,-1,"-0,2%",163,162,-1,"-0,6%",797,1.001,204,"25,6%",578,668,90,"15,6%",2.358,2.569,211,"8,9%",4.513,5.016,503,"11,1%"
,RJ,330570,Sumidouro,207,211,4,"1,9%",527,548,21,"4,0%",15,24,9,"60,0%",508,544,36,"7,1%",1.030,1.063,33,"3,2%",2.287,2.390,103,"4,5%"
,RJ,330575,Tanguá,66,84,18,"27,3%",1.174,528,-646,"-55,0%",209,90,-119,"-56,9%",1.024,1.070,46,"4,5%",2.789,3.081,292,"10,5%",5.262,4.853,-409,"-7,8%"
,RJ,330580,Teresópolis,1.728,1.958,230,"13,3%",2.887,3.197,310,"10,7%",1.177,1.280,103,"8,8%",10.432,10.132,-300,"-2,9%",22.924,23.753,829,"3,6%",39.151,40.320,1.169,"3,0%"
,RJ,330590,Trajano de Moraes,89,86,-3,"-3,4%",84,93,9,"10,7%",5,6,1,"20,0%",150,151,1,"0,7%",1.214,902,-312,"-25,7%",1.543,1.238,-305,"-19,8%"
,RJ,330600,Três Rios,189,181,-8,"-4,2%",6.137,6.233,96,"1,6%",625,578,-47,"-7,5%",5.634,5.615,-19,"-0,3%",10.412,11.012,600,"5,8%",22.997,23.619,622,"2,7%"
,RJ,330610,Valença,566,583,17,"3,0%",2.331,2.901,570,"24,5%",141,114,-27,"-19,1%",2.496,2.450,-46,"-1,8%",7.324,7.181,-143,"-2,0%",12.858,13.229,371,"2,9%"
,RJ,330615,Varre-Sai,55,55,0,"0,0%",19,21,2,"10,5%",18,21,3,"16,7%",171,194,23,"13,5%",922,889,-33,"-3,6%",1.185,1.180,-5,"-0,4%"
,RJ,330620,Vassouras,365,363,-2,"-0,5%",697,666,-31,"-4,4%",292,360,68,"23,3%",1.490,1.507,17,"1,1%",6.431,6.869,438,"6,8%",9.275,9.765,490,"5,3%"
,RJ,330630,Volta Redonda,74,40,-34,"-45,9%",22.971,25.830,2.859,"12,4%",3.807,3.083,-724,"-19,0%",17.175,16.815,-360,"-2,1%",37.984,38.464,480,"1,3%",82.011,84.232,2.221,"2,7%"
,SP,350010,Adamantina,876,1.030,154,"17,6%",1.863,2.010,147,"7,9%",411,273,-138,"-33,6%",2.868,2.802,-66,"-2,3%",5.175,8.355,3.180,"61,4%",11.193,14.470,3.277,"29,3%"
,SP,350020,Adolfo,248,181,-67,"-27,0%",81,97,16,"19,8%",150,184,34,"22,7%",93,80,-13,"-14,0%",430,446,16,"3,7%",1.002,988,-14,"-1,4%"
,SP,350030,Aguaí,1.273,1.222,-51,"-4,0%",2.294,2.350,56,"2,4%",91,138,47,"51,6%",1.737,1.787,50,"2,9%",2.811,2.981,170,"6,0%",8.206,8.478,272,"3,3%"
,SP,350040,Águas da Prata,303,327,24,"7,9%",166,220,54,"32,5%",15,12,-3,"-20,0%",194,147,-47,"-24,2%",555,631,76,"13,7%",1.233,1.337,104,"8,4%"
,SP,350050,Águas de Lindóia,44,45,1,"2,3%",906,997,91,"10,0%",48,47,-1,"-2,1%",957,991,34,"3,6%",3.676,3.852,176,"4,8%",5.631,5.932,301,"5,3%"
,SP,350055,Águas de Santa Bárbara,862,778,-84,"-9,7%",95,144,49,"51,6%",26,35,9,"34,6%",186,187,1,"0,5%",710,751,41,"5,8%",1.879,1.895,16,"0,9%"
,SP,350060,Águas de São Pedro,0,0,0,#DIV/0!,31,35,4,"12,9%",17,15,-2,"-11,8%",241,271,30,"12,4%",990,1.016,26,"2,6%",1.279,1.337,58,"4,5%"
,SP,350070,Agudos,1.026,1.175,149,"14,5%",2.412,2.328,-84,"-3,5%",266,224,-42,"-15,8%",1.728,1.964,236,"13,7%",5.350,5.459,109,"2,0%",10.782,11.150,368,"3,4%"
,SP,350075,Alambari,277,283,6,"2,2%",202,248,46,"22,8%",45,25,-20,"-44,4%",141,173,32,"22,7%",391,430,39,"10,0%",1.056,1.159,103,"9,8%"
,SP,350080,Alfredo Marcondes,76,78,2,"2,6%",692,679,-13,"-1,9%",5,10,5,"100,0%",51,57,6,"11,8%",374,388,14,"3,7%",1.198,1.212,14,"1,2%"
,SP,350090,Altair,473,540,67,"14,2%",47,45,-2,"-4,3%",0,0,0,#DIV/0!,51,49,-2,"-3,9%",254,285,31,"12,2%",825,919,94,"11,4%"
,SP,350100,Altinópolis,1.428,1.576,148,"10,4%",76,77,1,"1,3%",73,54,-19,"-26,0%",704,800,96,"13,6%",1.470,1.526,56,"3,8%",3.751,4.033,282,"7,5%"
,SP,350110,Alto Alegre,73,107,34,"46,6%",64,64,0,"0,0%",0,2,2,#DIV/0!,99,97,-2,"-2,0%",267,367,100,"37,5%",503,637,134,"26,6%"
,SP,350115,Alumínio,22,30,8,"36,4%",5.151,5.120,-31,"-0,6%",627,573,-54,"-8,6%",674,548,-126,"-18,7%",1.252,1.305,53,"4,2%",7.726,7.576,-150,"-1,9%"
,SP,350120,Álvares Florence,134,134,0,"0,0%",43,33,-10,"-23,3%",20,1,-19,"-95,0%",42,51,9,"21,4%",307,342,35,"11,4%",546,561,15,"2,7%"
,SP,350130,Álvares Machado,178,175,-3,"-1,7%",917,1.037,120,"13,1%",212,189,-23,"-10,8%",976,1.011,35,"3,6%",1.474,1.516,42,"2,8%",3.759,3.928,169,"4,5%"
,SP,350140,Álvaro de Carvalho,94,264,170,"180,9%",2,2,0,"0,0%",0,1,1,#DIV/0!,45,49,4,"8,9%",255,656,401,"157,3%",396,972,576,"145,5%"
,SP,350150,Alvinlândia,100,90,-10,"-10,0%",20,29,9,"45,0%",13,9,-4,"-30,8%",34,34,0,"0,0%",190,204,14,"7,4%",357,366,9,"2,5%"
,SP,350160,Americana,109,366,257,"235,8%",24.694,24.029,-665,"-2,7%",2.752,2.751,-1,"0,0%",17.615,17.793,178,"1,0%",33.238,39.656,6.418,"19,3%",78.408,84.595,6.187,"7,9%"
,SP,350170,Américo Brasiliense,85,80,-5,"-5,9%",5.056,5.027,-29,"-0,6%",1.049,1.074,25,"2,4%",857,894,37,"4,3%",4.314,4.895,581,"13,5%",11.362,11.970,608,"5,4%"
,SP,350180,Américo de Campos,102,142,40,"39,2%",52,67,15,"28,8%",1,6,5,"500,0%",118,75,-43,"-36,4%",357,366,9,"2,5%",630,656,26,"4,1%"
,SP,350190,Amparo,1.799,1.855,56,"3,1%",11.885,12.085,200,"1,7%",908,562,-346,"-38,1%",4.371,4.454,83,"1,9%",7.621,8.012,391,"5,1%",26.584,26.968,384,"1,4%"
,SP,350200,Analândia,383,392,9,"2,3%",244,249,5,"2,0%",2,2,0,"0,0%",180,155,-25,"-13,9%",399,534,135,"33,8%",1.208,1.332,124,"10,3%"
,SP,350210,Andradina,731,887,156,"21,3%",5.287,5.179,-108,"-2,0%",553,728,175,"31,6%",3.534,3.770,236,"6,7%",7.820,9.977,2.157,"27,6%",17.925,20.541,2.616,"14,6%"
,SP,350220,Angatuba,2.199,1.774,-425,"-19,3%",925,1.002,77,"8,3%",122,126,4,"3,3%",917,920,3,"0,3%",1.655,1.787,132,"8,0%",5.818,5.609,-209,"-3,6%"
,SP,350230,Anhembi,560,577,17,"3,0%",139,144,5,"3,6%",4,4,0,"0,0%",67,83,16,"23,9%",358,371,13,"3,6%",1.128,1.179,51,"4,5%"
,SP,350240,Anhumas,123,117,-6,"-4,9%",37,24,-13,"-35,1%",21,6,-15,"-71,4%",51,50,-1,"-2,0%",353,340,-13,"-3,7%",585,537,-48,"-8,2%"
,SP,350250,Aparecida,69,69,0,"0,0%",437,622,185,"42,3%",191,237,46,"24,1%",2.651,2.793,142,"5,4%",7.723,8.083,360,"4,7%",11.071,11.804,733,"6,6%"
,SP,350260,Aparecida d'Oeste,104,85,-19,"-18,3%",256,302,46,"18,0%",7,4,-3,"-42,9%",115,115,0,"0,0%",261,446,185,"70,9%",743,952,209,"28,1%"
,SP,350270,Apiaí,1.207,1.243,36,"3,0%",1.430,1.170,-260,"-18,2%",254,580,326,"128,3%",1.086,1.157,71,"6,5%",1.805,3.428,1.623,"89,9%",5.782,7.578,1.796,"31,1%"
,SP,350275,Araçariguama,7,9,2,"28,6%",4.617,4.888,271,"5,9%",642,735,93,"14,5%",2.326,2.318,-8,"-0,3%",4.425,3.983,-442,"-10,0%",12.017,11.933,-84,"-0,7%"
,SP,350280,Araçatuba,858,875,17,"2,0%",8.428,8.500,72,"0,9%",2.150,2.418,268,"12,5%",15.761,15.818,57,"0,4%",29.316,34.787,5.471,"18,7%",56.513,62.398,5.885,"10,4%"
,SP,350290,Araçoiaba da Serra,419,369,-50,"-11,9%",1.807,1.779,-28,"-1,5%",623,906,283,"45,4%",1.306,1.326,20,"1,5%",2.981,3.301,320,"10,7%",7.137,7.681,544,"7,6%"
,SP,350300,Aramina,140,128,-12,"-8,6%",5,1,-4,"-80,0%",1,9,8,"800,0%",210,213,3,"1,4%",390,485,95,"24,4%",746,836,90,"12,1%"
,SP,350310,Arandu,802,687,-115,"-14,3%",69,44,-25,"-36,2%",4,4,0,"0,0%",129,127,-2,"-1,6%",482,456,-26,"-5,4%",1.486,1.318,-168,"-11,3%"
,SP,350315,Arapeí,42,36,-6,"-14,3%",11,11,0,"0,0%",13,3,-10,"-76,9%",39,46,7,"17,9%",272,280,8,"2,9%",377,376,-1,"-0,3%"
,SP,350320,Araraquara,983,1.305,322,"32,8%",18.275,18.250,-25,"-0,1%",4.735,4.293,-442,"-9,3%",16.755,16.329,-426,"-2,5%",41.112,47.608,6.496,"15,8%",81.860,87.785,5.925,"7,2%"
,SP,350330,Araras,1.565,1.340,-225,"-14,4%",13.070,14.005,935,"7,2%",1.679,1.692,13,"0,8%",7.848,8.015,167,"2,1%",15.239,15.055,-184,"-1,2%",39.402,40.107,705,"1,8%"
,SP,350335,Arco-Íris,84,79,-5,"-6,0%",27,16,-11,"-40,7%",4,3,-1,"-25,0%",8,18,10,"125,0%",217,192,-25,"-11,5%",340,308,-32,"-9,4%"
,SP,350340,Arealva,404,389,-15,"-3,7%",390,260,-130,"-33,3%",12,13,1,"8,3%",215,219,4,"1,9%",569,636,67,"11,8%",1.590,1.517,-73,"-4,6%"
,SP,350350,Areias,171,185,14,"8,2%",17,31,14,"82,4%",8,7,-1,"-12,5%",63,59,-4,"-6,3%",473,657,184,"38,9%",732,939,207,"28,3%"
,SP,350360,Areiópolis,549,510,-39,"-7,1%",138,177,39,"28,3%",48,42,-6,"-12,5%",281,292,11,"3,9%",585,568,-17,"-2,9%",1.601,1.589,-12,"-0,7%"
,SP,350370,Ariranha,216,196,-20,"-9,3%",1.284,1.319,35,"2,7%",37,22,-15,"-40,5%",205,242,37,"18,0%",550,638,88,"16,0%",2.292,2.417,125,"5,5%"
